#margin  /ˈmɑːdʒɪn/> n.边缘，范围；极限；利润，盈余；（版心外）的空白
marksman  /ˈmɑːksmən/> n.神枪手；〈美〉二等射手，轻兵器射手的最低等级；
immortality  /ɪmɔːˈtalɪti/> n.不朽，不朽的声名；
#immobility  /ɪmə(ʊ)ˈbɪlɪti/> n.固定性，静止；
nourishment  /ˈnʌrɪʃm(ə)nt/> n.食物；滋养品，营养品；“nourish”的派生；
provision  /prəˈvɪʒ(ə)n/> vt.&vi.为…提供所需物品（尤指食物）；
provision  /prəˈvɪʒ(ə)n/> n.规定，条项，条款；预备，准备，设备；供应，（一批）供应品；生活物质，储备物资
alimentation  /ˌalɪm(ə)nˈteɪʃ(ə)n/> n.供给；生存所需的东西（食物）；电源；
#pension  /ˈpɛnʃ(ə)n | pɒ̃ˈsjɒ̃ | pɑ̃sjɔ̃/> n.（给老人，退休人士，研究员发放的）生活津贴（退休金）；
#electrocution  /ɪlɛktrəˈkjuːʃ(ə)n/> n.电死（因为触电导致的死亡）；
#mahdi  /ˈmɑːdi/> n.伊斯兰信仰中的「救世主」；
#abyss  /əˈbɪs/> n.深渊（地狱）；无底洞；人与人之间的鸿沟；
ado  /əˈduː/> n.无谓的忙乱；毫不耽搁地；干脆地；立即
#marketer  /ˈmɑːkɪtə/> n.对产品进行推销的公司或推销员；
ilk  /ɪlk/> n.同类（同类型的人）；同名的地方；
#marquis  /ˈmɑːkwɪs/> n.法国贵族系统中的侯爵，位于公爵（duc）之下；
#marquess  /ˈmɑːkwəs/> n.英国贵族系统中的侯爵，位于公爵（duke）之下；
vertigo  /ˈvəːtɪɡəʊ/> n.眩晕，头晕；
#vegetable  /ˈvɛdʒtəb(ə)l | ˈvɛdʒɪtəb(ə)l/> n.蔬菜；植物人；
#vector  /ˈvɛktə/> n.矢量；航向；[生]带菌者；[天]矢径
velvet  /ˈvɛlvɪt/> n.丝绒；天鹅绒；立绒；赢得的钱
vellum  /ˈvɛləm/> n.上等犊皮纸，皮纸文书，牛皮纸；
vengeance  /ˈvɛn(d)ʒ(ə)ns/> n.报仇，复仇；报复；
#vendor  /ˈvɛndɔː | ˈvɛndə/> n.摊贩，小贩；卖主；[贸易]自动售货机；供应商
venue  /ˈvɛnjuː/> n.犯罪地点，案发地点；会场；（尤指）体育比赛场所；审判地
ventricle  /ˈvɛntrɪk(ə)l/> n.室，脑室，心室；
venter  /ˈvɛntə/> n.腹部；胃；子宫；母
venture  /ˈvɛntʃə/> n.冒险事业；冒险；冒险行动；商业冒险
venison  /ˈvɛnɪz(ə)n | ˈvɛnɪs(ə)n/> n.鹿肉；野味；猎兽；
verity  /ˈvɛrɪti/> n.真实；事实；真理；真实的陈述
vestment  /ˈvɛs(t)m(ə)nt/> n.礼仪服装；（尤指牧师的）法衣；圣衣；祭服
vessel  /ˈvɛs(ə)l/> n.容器；船，飞船；血管，管束；…的化身
vestal  /ˈvɛst(ə)l/> n.处女，修女；
vestry  /ˈvɛstri/> n.小礼拜室；
vestibule  /ˈvɛstɪbjuːl/> n.门厅；前厅；火车车厢末端的连廊；前庭
venue  /ˈvɛnjuː/> n.（体育比赛，演唱会，会议的）举办场所；（犯罪或案发的地点）犯罪现场；
vestige  /ˈvɛstɪdʒ/> n.遗迹；退化的器官；残余部分；毫不
vesture  /ˈvɛstʃə/> n.衣服；覆盖物，地面生长物（树林除外）；
veterinary  /ˈvɛt(ə)nri | ˈvɛt(ə)rɪn(ə)ri/> n.兽医；
variance  /ˈvɛːrɪəns/> n.变化，变动；不一致；分歧；方差
variant  /ˈvɛːrɪənt/> n.（词等的）变体，（字音的）转讹；[生]变种，变异体；变形，变量，转化；[统]变式
variate  /ˈvɛːrɪət/> n.变量；变数；变元；随机变量
videotape  /ˈvɪdɪə(ʊ)teɪp/> n.录像带，录影带；
muss  /mʌs/> n.混乱；
#musk  /mʌsk/> n.麝香；
mutt  /mʌt/> n.蠢人，笨蛋，杂种；
#mother-of-pearl  /mʌðərəvˈpəːl/> n.珍珠母（贝壳的内层物质；是构成珍珠表层亮丽的材料）；
#monk  /mʌŋk/> n.僧侣；
#mug  /mʌɡ/> n.马克杯，杯子；容易受骗的人；脸；一缸子（的量）
#mike  /mʌɪk/> n.(=microphone)话筒，扩音器；
#microprocessor  /mʌɪkrə(ʊ)ˈprəʊsɛsə/> n.微处理器；
mild  /mʌɪld/> n.淡味麦芽啤酒；
#mime  /mʌɪm/> n.笑剧，笑剧演员；笑剧的表演对白；滑稽演员；哑剧，哑剧演员
mite  /mʌɪt/> n.小虫；极小量；小孩子；微小的东西
#mire  /mʌɪə/> n.泥潭（引申为困境）；
#milometer  /mʌɪˈlɒmɪtə/> n.里程表；
#myopia  /mʌɪˈəʊpɪə/> n.近视；缺乏深谋远虑；短视；
#migration  /mʌɪˈɡreɪʃ(ə)n/> n.迁移，移居；
mush  /mʌʃ | mʊʃ/> n.软而稠的混合物或块，糊状物，玉米粥；脆弱的感情，感伤的话；胆怯；
knack  /nak/> n.诀窍，窍门；熟练技术，技巧；需要技巧的工作；巧妙手法
namby-pamby  /nambɪˈpambi/> n.矫饰，感伤的人；
knap  /nap/> n.小山的山顶，丘顶；
#nap  /nap/> n.小睡，打盹；一种牌戏；绒毛；孤注一掷
gnat  /nat/> n.叮人小虫；
#navigation  /navɪˈɡeɪʃ(ə)n/> n.航行（学）；航海（术）；海上交通；
nag  /naɡ/> n.挑剔的人；马，老马；
nous  /naʊs/> n.心灵；理性；精神；常识
#neigh  /neɪ/> n.马嘶声；
#nail  /neɪl/> n.钉子；指甲；
nape  /neɪp/> n.颈背，后颈；
knave  /neɪv/> n.恶棍，无赖；（纸牌中的）杰克；
nave  /neɪv/> n.教堂正厅；本堂；中央部；车轮的中心部
#niece  /niːs/> n.（兄弟姐妹所生的女儿）外甥女，侄女；
nude  /njuːd/> n.裸体；裸体像；
#nuke  /njuːk/> n.核武器；
numeration  /njuːməˈreɪʃ(ə)n/> n.计算，编号，读数法；
#newt  /njuːt/> n.蝾螈；
#pneumonia  /njuːˈməʊnɪə/> n.肺炎；
#neutrality  /njuːˈtralɪti/> n.中立性；
#nutrition  /njʊˈtrɪʃ(ə)n/> n.营养；
#nutritionist  /njʊˈtrɪʃ(ə)nɪst/> n.营养学家；
#noose  /nuːs/> n.套索；绞刑；
nark  /nɑːk/> n.警察的线人；
gnarl  /nɑːl/> n.节，瘤；
#nan  /nɑːn | nan/> n.奶奶；
naivety  /nɑːˈiːvti | nʌɪˈiːvti/> n.天真，幼稚；
#narcotic  /nɑːˈkɒtɪk/> n.麻醉药；镇定剂（毒品）；
#narcissus  /nɑːˈsɪsəs/> n.水仙；
#narcissism  /nɑːˈsɪsɪz(ə)m | ˈnɑːsɪsɪz(ə)m/> n.自恋；
knob  /nɒb/> n.疙瘩；小块；球形把手；旋钮；鸡儿；
nod  /nɒd/> n.点头；点头同意；打瞌睡，打盹；粗心大意
knock  /nɒk/> n.敲击声；
nock  /nɒk/> n.帆的前部上端；箭尾端搭弦处；
nonplus  /nɒnˈplʌs/> n.迷惑，困惑，尽头；
knot  /nɒt/> n.结，节，瘤；[航]节(=浬/小时)，浬，海里；（树木或木材上的）节疤，（人或动物身上的）硬块，节，瘤；难事，难题，麻烦事，（问题的）要点，（戏剧，小说的）情节的征结
notch  /nɒtʃ/> n.V字形的槽口；刻痕；峡谷；等级
novelette  /nɒvəˈlɛt/> n.中篇（或短篇）小说；
nonentity  /nɒˈnɛntɪti/> n.无足轻重的人；
nostalgia  /nɒˈstaldʒə/> n.对往事的怀恋；怀旧；乡愁；怀乡病
nought  /nɔːt/> n.零；没有；
#nobelium  /nə(ʊ)ˈbɛlɪəm/> n.锘；
#nobility  /nə(ʊ)ˈbɪlɪti/> n.贵族阶级；高贵的身分[出身]；高尚，崇高；庄严，雄伟
#nomenclature  /nə(ʊ)ˈmɛŋklətʃə | ˈnəʊmənˌkleɪtʃə/> n.系统命名法；命名（过程）；（某一学科的）术语；专门名称
novitiate  /nə(ʊ)ˈvɪeɪt | nə(ʊ)ˈvɪʃɪət/> n.见习期；
knoll  /nəʊl/> n.小圆丘，小土墩；
notability  /nəʊtəˈbɪlɪti/> n.显著；值得注意；显著的人；名人
#notoriety  /nəʊtəˈrʌɪɪti/> n.恶名，丑名；臭名昭著，声名狼藉；
noblesse  /nəʊˈblɛs/> n.贵族阶级；
noesis  /nəʊˈiːsɪs/> n.理智，纯理性的理解，认识；
#narrator  /nəˈreɪtə/> n.（故事的）讲述者，（戏剧、电影等的）解说员；
#gnome  /nəʊm | ˈnəʊmi/> n.格言；传说中守护地下宝藏的小人，长有小胡子带着小尖帽；侏儒；
musket  /ˈmʌskɪt/> n.火枪，（尤指）滑膛枪；
muscleman  /ˈmʌslman/> n.打手；
#mustang  /ˈmʌstaŋ/> n.（墨西哥和北美平原的）野马，海军行伍出身的军官；
muster  /ˈmʌstə/> n.集合；集合的人群；检阅；花名册
#mustard  /ˈmʌstəd/> n.芥菜；黄芥末；黄芥末色；强烈的兴趣；热情的人
#mutton  /ˈmʌt(ə)n/> n.羊肉；
muttonhead  /ˈmʌtnhɛd/> n.笨人，傻瓜；
mutter  /ˈmʌtə/> n.不敢大声说出来的抱怨；
muzzle  /ˈmʌz(ə)l/> n.枪口，炮口；（防止动物咬人的）口套；（四足动物的）鼻口部；（狗）等凸出的鼻子和口
#motherfucker  /ˈmʌðəfʌkə/> n.（通常指男性）不要脸的家伙，混账东西；
#motherland  /ˈmʌðəland/> n.祖国；
#mongrel  /ˈmʌŋɡr(ə)l/> n.杂种狗；混合物；
#mugwort  /ˈmʌɡwəːt/> n.艾叶；
mugwump  /ˈmʌɡwʌmp/> n.中立派；
mugger  /ˈmʌɡə/> n.抢劫犯，拦路抢劫者；
muggins  /ˈmʌɡɪnz/> n.蠢人，马金兹牌戏（一种骨牌戏）；
microchip  /ˈmʌɪkrə(ʊ)tʃɪp/> n.微晶片；微型集成电路片；
#microwave  /ˈmʌɪkrə(ʊ)weɪv/> n.微波；微波炉；
#microphone  /ˈmʌɪkrəfəʊn/> n.扩音器，麦克风；话筒；
microscope  /ˈmʌɪkrəskəʊp/> n.显微镜；
micro  /ˈmʌɪkrəʊ/> n.微型计算机；微处理器；
microbe  /ˈmʌɪkrəʊb/> n.微生物，细菌；
microseism  /ˈmʌɪkrəʊˌsʌɪz(ə)m/> n.微弱的地震；
#mica  /ˈmʌɪkə/> n.云母；
mildness  /ˈmʌɪldnəs/> n.温和，和善，温暖；
milepost  /ˈmʌɪlpəʊst/> n.（英里）里程标志，里程碑；英里程标；
#milestone  /ˈmʌɪlstəʊn/> n.里程碑；划时代事件；
#mileage  /ˈmʌɪlɪdʒ/> n.里程；好处，利润；（按英里计算的）运费；〈美〉（公务员出差时）按英里支付的旅费
mindset  /ˈmʌɪn(d)sɛt/> n.观念模式，思维倾向，心态；
mindedness  /ˈmʌɪndɪdnəs/> n.心思；思想；
mineworker  /ˈmʌɪnwəːkə/> n.矿工；
#miner  /ˈmʌɪnə/> n.矿工；矿机；工兵；
maestro  /ˈmʌɪstrəʊ/> n.音乐大师（尤指名指挥）；艺术大师；乐队指挥；（球队等的）领队
mitre  /ˈmʌɪtə/> n.主教法冠；
pennant  /ˈpɛnənt/> n.（船上或军旅用的）长三角型信号旗；锦旗；
lading  /ˈleɪdɪŋ/> n.装载；汲取；货物；
layman  /ˈleɪmən/> n.门外汉，外行；俗人；一般信徒；
lamia  /ˈleɪmɪə/> n.女怪，妖妇；
layperson  /ˈleɪpəːs(ə)n/> n.外行；
lacing  /ˈleɪsɪŋ/> n.系带，带子，花边；
lateness  /ˈleɪtnəs/> n.迟，晚；
layabout  /ˈleɪəbaʊt/> n.无业游民，游手好闲之徒；
layover  /ˈleɪəʊvə/> n.临时滞留，中途下车；
laic  /ˈleɪɪk/> n.外行人；
laity  /ˈleɪɪti/> n.俗人；普通信徒；门外汉，外行；
legion  /ˈliːdʒ(ə)n/> n.大批部队；众多，大量；古罗马军团；
liegeman  /ˈliːdʒmən/> n.臣下，忠实的部下；
leaflet  /ˈliːflɪt/> n.传单，散页印刷品；小叶，嫩叶；复叶的一片；叶状器官
limen  /ˈliːmɛn | ˈlʌɪmɛn/> n.阈限；
lean-to  /ˈliːntuː/> n.靠着大房所建的单坡屋顶小屋，披屋，披棚；
leaning  /ˈliːnɪŋ/> n.倾向，爱好，偏爱；
lenience  /ˈliːnɪəns/> n.宽大，仁慈，从轻的刑罚；宽大，仁慈(leniency的名词复数)；
leniency  /ˈliːnɪənsi/> n.宽大，仁慈；
lycee  /ˈliːseɪ | lise/> n.法国的国立高等学校或大学预科，公立中等学校；
lever  /ˈliːvə/> n.杠杆；操作杆；工具；
leeway  /ˈliːweɪ/> n.（航行由于强风所致的）偏航；余地；时间损失，落后；风压差，风压角
lien  /ˈliːən | liːn/> n.留置权，扣押权；
lesion  /ˈliːʒ(ə)n/> n.损害；身体器官组织的损伤；感染性的皮肤；
lubricant  /ˈluːbrɪk(ə)nt/> n.润滑剂，润滑油；能减少摩擦的东西；奶油，黄油；
lucre  /ˈluːkə/> n.金钱收益，利润；
lulu  /ˈluːluː/> n.卓越的人，俊秀；
lumen  /ˈluːmɛn | ˈluːmən/> n.流明（光通量单位）；[植物]（管）腔；
luminance  /ˈluːmɪn(ə)ns/> n.亮度；发光度；
luminary  /ˈluːmɪn(ə)ri/> n.杰出人物，名人；天体；发光体；
loony  /ˈluːni/> n.疯子；
lunula  /ˈluːnjʊlə/> n.新月形的东西，新月形表记；
lunacy  /ˈluːnəsi/> n.精神失常；极蠢；
lunatic  /ˈluːnətɪk/> n.精神失常者，精神病人；疯子；极愚蠢的人；狂人
loophole  /ˈluːphəʊl/> n.漏洞；枪眼；观察孔；
lupin  /ˈluːpɪn/> n.羽扇豆；
lucifer  /ˈluːsɪfə/> n.撒旦；晓星（金星）；（摩擦）火柴；安全火柴
louvre  /ˈluːvə | luvʀ | ˈluːvr(ə)/> n.百叶窗（板）；（侧面有通风口的）圆顶天窗；活百叶档板；
loser  /ˈluːzə/> n.受损失者；失败者；屡屡失败的人（尤指评价较低者）；屌丝
leeward  /ˈluːəd | ˈliːwəd/> n.下风；
leafstalk  /ˈlēfstôk/> n.叶柄；
larder  /ˈlɑːdə/> n.（家中的）食物贮藏室，食物橱；
laughter  /ˈlɑːftə/> n.笑，笑声；〈古〉好笑的事；〈美俚〉力量悬殊得可笑的体育比赛；大笑
laugher  /ˈlɑːfə/> n.笑者，哄笑者，好笑的一边倒比赛；
larder  /ˈlɑːdə/> n.（家中储存食物的地方）储物间；
lucifer  /ˈluːsɪfə/> n.撒旦；启明星（金星）；（摩擦）火柴；安全火柴
#abnormality  /abnəˈmalɪti | abnɔːˈmalɪti/> n.反常；变态；畸形；不合常规的现象或事件
#abnormality  /abnəˈmalɪti | abnɔːˈmalɪti/> n.反常；变态；畸形；不合常规的现象或事件
interjection  /ɪntəˈdʒɛkʃ(ə)n/> n.叹词，感叹词；
interlock  /ɪntəˈlɒk | ˈɪntəlɒk/> n.互锁设备；双螺纹针织品；
intermission  /ɪntəˈmɪʃ(ə)n/> n.间歇，停顿，（放映电影中）中间休息；
intonation  /ɪntəˈneɪʃ(ə)n/> n.语调，声调；[乐]发声，转调；[宗]吟诵；语音的抑扬
#interruption  /ɪntəˈrʌpʃn/> n.中断；打断；障碍物；打岔的事
intervention  /ɪntəˈvɛnʃ(ə)n/> n.介入，干涉，干预；调解，排解；
#interpretation  /ɪntəːprɪˈteɪʃ(ə)n/> n.解释，说明；翻译；表演，演绎；理解
interpolation  /ɪntəːpəˈleɪʃ(ə)n/> n.窜改；添写，插补；
intellection  /ɪntɪˈlɛkʃ(ə)n/> n.智力活动；
involution  /ɪnvəˈl(j)uːʃ(ə)n/> n.卷绕，回旋；复归；包卷；对合
#invitee  /ɪnvʌɪˈtiː/> n.被邀请者；
#inability  /ɪnəˈbɪlɪti/> n.无能，无力；无才能；无能为力；
#innovation  /ɪnəˈveɪʃ(ə)n/> n.改革，创新；新观念；新发明；新设施
inequality  /ɪnɪˈkwɒlɪti/> n.不平等，不均等；[数]不等式；变动，变化；不相同
inadequacy  /ɪnˈadɪkwəsi/> n.不充分，不适当；不完全；[医]官能不足，机能不全；不十分
inaction  /ɪnˈakʃ(ə)n/> n.不活动；不活跃；迟钝；懒散
indecency  /ɪnˈdiːsnsi/> n.下流，不适当，猥亵；
inducement  /ɪnˈdjuːsm(ə)nt/> n.诱导，劝诱；诱因，动机；[法]引言部分；刺激物
endurance  /ɪnˈdjʊər(ə)ns | ɪnˈdʒɔːr(ə)ns | ɛnˈdʒɔːr(ə)ns | ɛnˈdjʊər(ə)ns/> n.耐久（力），持久（力）；忍耐，忍耐力；
indemnity  /ɪnˈdɛmnɪti/> n.赔偿；保障；赔偿金；
indent  /ɪnˈdɛnt/> n.（印刷中的）缩进；订单，订购；
indenture  /ɪnˈdɛntʃə/> n.契约；合同；正式凭单；文据
leaflet  /ˈliːflɪt/> vt.&vi.散发传单；
leaflet  /ˈliːflɪt/> n.传单，散页印刷品；嫩叶，复叶的一片；（生物学）叶状器官
pessimist  /ˈpɛsɪmɪst/> n.悲观主义者，悲观者；厌世者；
petal  /ˈpɛt(ə)l/> n.花瓣；
petiole  /ˈpɛtɪəʊl/> n.叶柄，柄部；
petulance  /ˈpɛtʃʊl(ə)ns/> n.闹气，性急；
peasant  /ˈpɛz(ə)nt/> n.农民；农夫；佃农；粗俗的人
pegboard  /ˈpɛɡbɔːd/> n.（玩游戏用的）小钉板；
parentage  /ˈpɛːr(ə)ntɪdʒ/> n.出身，门第；父母亲的身份；起源；亲子关系
paries  /ˈpɛːrɪiːz/> n.壁；
pigeon  /ˈpɪdʒɪn | ˈpɪdʒ(ə)n/> n.鸽子；易受骗的人；责任；
pigeonhole  /ˈpɪdʒɪnhəʊl/> n.鸽舍出入口；小房间；文件架上的小间隔；
pickle  /ˈpɪk(ə)l/> n.腌菜，泡菜；腌制食品；遇到麻烦，处于困境；
picnic  /ˈpɪknɪk/> n.野餐郊游；供野餐吃的食品；猪的肩肉；轻松的工作
pickpocket  /ˈpɪkpɒkɪt/> n.扒手；
pixie  /ˈpɪksi/> n.小精灵，小仙子；
picker  /ˈpɪkə/> n.采摘者；挖掘者；采摘机；采摘工具
picket  /ˈpɪkɪt/> n.罢工纠察员；警戒队；[建]尖木桩；[军]步哨，哨兵
pickup  /ˈpɪkʌp/> n.收集；搭车（者）；唱机唱头；小卡车
pillbox  /ˈpɪlbɒks/> n.碉堡，药丸盒；
pillock  /ˈpɪlək/> n.愚蠢无用的人；
pillory  /ˈpɪləri/> n.颈手枷；
pillowcase  /ˈpɪləʊkeɪs/> n.枕套（等同pillowslip）；
pilgrim  /ˈpɪlɡrɪm/> n.香客，朝圣者；旅行者；追寻者；〈美〉新来移民，1620年移居美洲的英国清教徒
pilgrimage  /ˈpɪlɡrɪmɪdʒ/> n.朝圣之旅；参拜圣地；人生的旅程，一生；漫游
pillage  /ˈpɪlɪdʒ/> n.抢劫，掠夺；掠夺物；
pimple  /ˈpɪmp(ə)l/> n.丘疹，粉刺，小脓疱；
pinhead  /ˈpɪnhɛd/> n.大头针的平头；没有头脑的人；
pinny  /ˈpɪni/> n.围嘴儿，围巾；
pinion  /ˈpɪnjən/> n.小齿轮；
pinpoint  /ˈpɪnpɔɪnt/> n.针尖，尖头；精确位置；极小之物；
pincer  /ˈpɪnsə/> n.（甲壳动物的）螯；钳子；
pinwheel  /ˈpɪnwiːl/> n.轮转焰火，纸风车；针轮；靶中心；
pinna  /ˈpɪnə/> n.羽，翼，鳍；
pinafore  /ˈpɪnəfɔː/> n.围裙；尤指小孩的围涎；无袖连衣裙；学生裙
pinnacle  /ˈpɪnək(ə)l/> n.顶峰；顶点；尖顶；[建]（哥德式建筑的）小尖塔
pinnace  /ˈpɪnɪs/> n.装载于舰上的中型艇；
pipit  /ˈpɪpɪt/> n.田云雀之类；
piscary  /ˈpɪskəri/> n.捕鱼权，捕鱼场；
pistol  /ˈpɪst(ə)l/> n.手枪；
piston  /ˈpɪst(ə)n/> n.活塞；
pistil  /ˈpɪstɪl/> n.雌蕊；
pittance  /ˈpɪt(ə)ns/> n.少量；少许；微薄的工资；少量的收入
pitfall  /ˈpɪtfɔːl/> n.陷阱；圈套；诱惑；
pitchfork  /ˈpɪtʃfɔːk/> n.杈子，干草叉；
pitchman  /ˈpɪtʃmən/> n.摊贩，商品宣传员，（电台等的）广告员；
pitcher  /ˈpɪtʃə/> n.大水罐；投掷的人；
pivot  /ˈpɪvət/> n.枢轴；中心点，中枢；[物]支点，支枢；[体]回转运动
pinko  /ˈpɪŋkəʊ/> n.有左倾政治思想的人，左倾分子；
pianist  /ˈpɪənɪst/> n.钢琴家；钢琴师；钢琴演奏者；
peeress  /ˈpɪərəs | ˈpɪərɛs/> n.贵族夫人，有爵位的妇女；
peerage  /ˈpɪərɪdʒ/> n.（统称）贵族；贵族的爵位或头衔；贵族姓名录；贵族阶级
vestment  /ˈvɛs(t)m(ə)nt/> n.礼仪服装；（尤指牧师的）法衣；圣衣；祭服
vestment  /ˈvɛs(t)m(ə)nt/> n.圣衣；法衣；祭服；礼装；
craftsman  /ˈkrɑːf(t)smən/> n.工匠；手艺人；名匠；技工
craftsmanship  /ˈkrɑːf(t)smənʃɪp/> n.技术，技艺；工力；
crockery  /ˈkrɒk(ə)ri/> n.陶器；瓦罐；
crocodile  /ˈkrɒkədʌɪl/> n.鳄鱼；鳄鱼皮革；鳄类动物；
chronograph  /ˈkrɒnəɡrɑːf/> n.记时计，记秒表；停表；
chronicle  /ˈkrɒnɪk(ə)l/> n.编年史；年代记；记录；
crossbow  /ˈkrɒsbəʊ/> n.（昔日的）石弓，弩；
crossfire  /ˈkrɒsfʌɪə/> n.交叉火力；来自多方面的攻击；卷入两者的争执中并因此遭殃；（可能偶然影响未直接参与者的）激烈言行
crosspatch  /ˈkrɒspatʃ/> n.脾气暴躁的人；
crosspiece  /ˈkrɒspiːs/> n.横档，横杆；
crossway  /ˈkrɒsweɪ/> n.交叉路，岔路；
crosswalk  /ˈkrɒswɔːk/> n.人行横道（供行人穿越道路用）；
crossover  /ˈkrɒsəʊvə/> n.[生]（杂色体的）杂交，交换；[铁路]岔道，转线路；（交搭胸前的）女围巾；天桥
lupin  /ˈluːpɪn/> n.羽扇豆，又称鲁冰花；
bequest  /bɪˈkwɛst/> n.遗赠；遗产，遗赠物；
believer  /bɪˈliːvə/> n.信仰者；相信…者；
belonging  /bɪˈlɒŋɪŋ/> n.附属品，附件，属性；
benignity  /bɪˈnɪɡnɪti/> n.温和；仁慈；善举；善行
bereavement  /bɪˈriːvm(ə)nt/> n.亲人丧亡，丧失亲人，丧亲之痛；
betrothal  /bɪˈtrəʊð(ə)l/> n.（古时用语）订婚；
#beginner  /bɪˈɡɪnə/> n.新手，初学者；创立人，鼻祖；初学者的好运气（或意外成功）；
